row_index,excel_row_ordinal,commune,nom_site,phase_index,action,site_id,matched_reason,coord_quality,periode,sous_periode
8,12,Brumath/Eckwersheim,"Burgweg Rechts, zone de stockage, LGV Est",1,new,SITE-f0d3c55b6298de9b,aucune correspondance,ok,Hallstatt,Ha D2
9,13,Dachstein,Leffert (à cheval sur la commune d'Ernolsheim Bruche),0,skip_duplicate,SITE-cfc7758f59d99f9c,distance<=55.0m+commune,ok,indéterminé,
10,14,Dingsheim Stutzheim-Offenheim,Haspelacker et Aufs Dingsheimer Feld COS 4-1,0,new,SITE-2fed2e07396e1b89,aucune correspondance,ok,Hallstatt,Ha D1
10,14,Dingsheim Stutzheim-Offenheim,Haspelacker et Aufs Dingsheimer Feld COS 4-1,1,new,SITE-2fed2e07396e1b89,aucune correspondance,ok,Hallstatt,Ha D2
11,15,Duttlenheim,Ampfad et Neustrasse - COS 1.3,0,new,SITE-e6af738b0e3160a8,aucune correspondance,ok,Hallstatt,Ha C
11,15,Duttlenheim,Ampfad et Neustrasse - COS 1.3,1,new,SITE-e6af738b0e3160a8,aucune correspondance,ok,Hallstatt,Ha D1
11,16,Duttlenheim,"Ampfad et Neustrasse - COS 1.3, étape 1",0,new,SITE-3845a3f5fa2cd5e5,aucune correspondance,ok,Hallstatt,Ha B2-B3
12,17,Eckwersheim,"Burgweg Rechts, LGV Est Européenne 2e phase - zone de stockage",0,new,SITE-e5289224e4073942,aucune correspondance,ok,Hallstatt,Ha D1
12,17,Eckwersheim,"Burgweg Rechts, LGV Est Européenne 2e phase - zone de stockage",1,new,SITE-e5289224e4073942,aucune correspondance,ok,Hallstatt,Ha D2
13,18,Elsenheim,Elsenheim (nécropole),0,merge,SITE-9a1ebe0d893829d3,distance<=55.0m+commune,ok,Hallstatt,Ha C
13,18,Elsenheim,Elsenheim (nécropole),1,merge,SITE-9a1ebe0d893829d3,distance<=55.0m+commune,ok,Hallstatt,Ha D1
14,19,Ergersheim,Ergersheim (nécropole),0,merge,SITE-79d164c242ab35e5,distance<=55.0m+commune,ok,Hallstatt,Ha D1
14,19,Ergersheim,Ergersheim (nécropole),1,merge,SITE-79d164c242ab35e5,distance<=55.0m+commune,ok,Hallstatt,Ha D2
14,19,Ergersheim,Ergersheim (nécropole),2,merge,SITE-79d164c242ab35e5,distance<=55.0m+commune,ok,Hallstatt,Ha D3
15,20,Ernolsheim/Bruche,Ernolsheim/Bruche (nécropole),0,new,SITE-908dab827b91a321,aucune correspondance,ok,Hallstatt,Ha D1
15,20,Ernolsheim/Bruche,Ernolsheim/Bruche (nécropole),1,new,SITE-908dab827b91a321,aucune correspondance,ok,Hallstatt,Ha C
